star_name|Vmag|Jmag|Tmag|Gmag|d|SpT|T_eff_st|logL|R_st|M_st|age|binary
TIC 29207474|12.794|9.087|10.585|11.752901077270508|35.563716888427734|null|3460.0|-1.4404909097745395|0.5299745226642721|0.5250106249796056|null|0
TIC 115810824|9.09|7.115|8.044|8.710144996643066|26.076215744018555|K0|4511.7|-0.6698850765740043|0.7568846165982492|0.7171429991722107|null|0
TIC 39731798|12.479|9.341|10.628|11.631502151489258|40.692230224609375|M1.9|3754.0|-1.3018884959859685|0.5281044904349071|0.5258803551751735|null|0
TIC 16808022|10.445|8.056|9.158|9.92340087890625|33.39165115356445|K5V|4245.614779628786|-0.8907460449116352|0.6628243421389062|0.66|null|1
TIC 16815027|11.09|8.986|10.064|10.809643745422363|49.00471496582031|K4|4301.61583777068|-0.9244973107523786|0.6210702757573514|0.67|null|0
TIC 16814858|12.114|8.467|9.942|11.09280014038086|20.504365921020508|M3V|3493.0|-1.6039257122067017|0.4308167869984424|0.4257597708194541|null|0
TIC 16805617|9.864|7.371|8.505|9.290465354919434|32.47747802734375|K4V|4162.572244663005|-0.6418296507684693|0.9183627318337068|0.65|null|1
TIC 39064308|12.85|9.474|10.828|11.90039348602295|38.704830169677734|null|3624.0|-1.4227758541641002|0.4930470217062123|0.4911989793499821|null|0
TIC 371489548|9.33|7.774|8.564|9.114044189453123|41.89335632324219|K0|5091.3|-0.4913178560564574|0.730022659272709|0.8371514678001404|1.3383063077926636|0
TIC 453428169|12.99|9.173|10.704|11.885019302368164|25.742685317993164|dMe|3430.0|-1.69624521397035|0.4017369682274901|0.3936026648334135|null|0
TIC 17142853|12.1|8.85|10.027|10.949182510375977|38.20396423339844|K5|3944.0|-1.116946556331075|0.5919779823317131|0.5820331591132544|null|0
TIC 105483519|8.88|7.58|8.221|8.689257621765137|47.34141159057617|G5|5551.8|-0.2418902594301674|0.8181631029215706|0.9528239965438844|0.2701820731163025|0
TIC 39065871|9.63|7.974|8.805|9.370689392089844|43.202972412109375|K0|5015.3|-0.5606736756777315|0.6945795209546768|0.8174937963485718|null|0
TIC 105438724|10.798|8.672|9.685|10.403135299682615|47.234886169433594|null|4408.512989560347|-0.8156497616894799|0.6702603276008571|0.69|null|0
TIC 56933779|11.93|8.757|10.102|11.151594161987305|29.925670623779297|null|3646.0|-1.3563922765195726|0.5258031431963394|0.5233052699239188|null|0
TIC 56914413|11.58|8.126|9.53|10.941697120666504|33.4468|M1.7V|3569.0|-1.112982860026677|0.7262198558005144|0.6512059754047158|null|1
TIC 99744526|11.535|8.533|9.884|10.869004249572754|33.93368911743164|M1.0V|3787.0|-1.1672059297317543|0.6059810868954351|0.5929452713119026|null|0
TIC 252470070|10.03|6.949|8.252|9.273226737976074|14.952325820922852|M1V|3745.0|-1.2548953055680656|0.5601461405392805|0.5541891632921155|null|0
TIC 88723334|11.672|8.081|9.48|10.614534378051758|21.788976669311523|M3.0V|3517.0|-1.4246698344245503|0.5223637019143731|0.5196661211700471|null|1
TIC 367599382|11.54|8.838|10.008|10.949803352355955|38.12606430053711|M0.0V|3969.0|-1.1150058721400296|0.5858514524376851|0.5777839429847249|null|0
TIC 297961458|9.693|6.978|8.169|9.002518653869629|17.532108306884766|K5V|4019.7416049578983|-1.023858274362117|0.634347501867113|0.63|null|1
TIC 331945944|11.37|8.766|9.986|10.823898315429688|43.781192779541016|K5V|4007.0073503999542|-0.9538207606493536|0.6919934541771819|0.63|null|0
TIC 392067317|10.86|8.063|9.303|10.182114601135254|40.56291580200195|M0V|4135.0|-0.9623952872061536|0.6434339518944374|0.674|null|1
TIC 68658047|9.68|7.097|8.266|9.10311794281006|18.862184524536133|K5V|4020.5294037087474|-1.0008086243315892|0.6511512032472455|0.6225591897964478|null|0
TIC 164879361|10.19|7.015|8.512|9.894672393798828|32.20168685913086|null|4305.0|-0.9239565751767804|0.6204803690019033|0.607|null|1
TIC 68905799|11.354|8.329|9.556|10.559834480285645|26.190324783325195|M0.5V|3752.0|-1.2698763134006468|0.5485154044059675|0.5441860788522621|null|0
TIC 415692698|11.617|8.627|9.875|10.879085540771484|28.6566104888916|M0.5V|3763.0|-1.3035743133955435|0.5245622717746957|0.521395645588701|null|0
TIC 68800335|10.932|8.685|9.785|10.558948516845703|40.97822952270508|K5V|4105.0|-0.9338142197707412|0.6747132082779453|0.6478058099746704|11.897871017456056|0
TIC 4077764|12.422|9.427|10.703|11.697647094726562|49.30584716796875|null|3776.0|-1.2011304110698808|0.5861698386325145|0.576042052062555|null|1
TIC 302820286|10.057|7.184|8.408|9.360453605651855|18.212684631347656|M0V|3873.0|-1.1397941673384924|0.5979440754975498|0.5862474771145499|null|0
TIC 239134469|12.189|9.438|10.616|11.534832000732422|49.21943664550781|null|3932.0|-1.1383750995300077|0.5810828752049914|0.5732150370628263|null|1
TIC 4196732|11.811|8.42|9.814|10.91653823852539|35.17197036743164|M2.0V|3577.0|-1.2169535995974066|0.6414133055598342|0.6208222411621526|null|1
TIC 392067319|11.425|8.721|9.882|10.786151885986328|41.646949768066406|M0.0V|3966.0|-1.0290722802822512|0.6477554638411307|0.6259670883937666|null|1
TIC 91287872|12.14|8.642|10.088|11.242536544799805|41.7547|M2e|3554.0|-1.1115077759793182|0.7336077487200764|0.6442439130435653|null|0
TIC 69048221|12.49|8.834|10.299|11.437878608703612|23.616758346557617|M2.5Ve|3498.0|-1.6302101793178791|0.4167810312389347|0.4103050033332923|null|0
TIC 17855483|8.63|7.422|8.03|8.487190246582031|47.02676773071289|G0|5676.6|-0.1715835663467791|0.8485633608635532|0.9686346650123596|1.5111883878707886|0
TIC 18745943|11.876|8.644|10.014|11.054020881652832|42.7253532409668|M1V|3687.0|-1.111433145547878|0.6816945106557695|0.6484724154318744|null|1
TIC 16034014|10.624|6.771|8.373|9.601197242736816|11.98712158203125|M2.5V|3451.0|-1.4647993577772254|0.5180397049740876|0.5156090657344796|null|1
TIC 16034007|11.738|7.571|9.204|10.505623817443848|11.983668327331545|M4.0V|3306.0|-1.7816287680061722|0.3919517089617002|0.382515789193282|null|1
TIC 9989136|9.61|7.613|8.545|9.197406768798828|32.52934265136719|K3|4656.627450384752|-0.6989810049296163|0.6870987437003268|0.7266916036605835|9.60049819946289|0
TIC 18750077|11.51|9.026|10.126|10.892420768737791|44.45918273925781|null|4125.0|-1.0017851067962655|0.6178914498795838|0.65|null|0
